year,state_fips,state_alpha,county_fips,county_name,yield_bu_acre,ndvi_jun,ndvi_jul,precip_sum_jun,precip_sum_jul,tmean_jun,tmean_jul,tmax_jun,tmax_jul,tmin_jun,tmin_jul,soil_moisture_jun,soil_moisture_jul,soil_organic_carbon,soil_ph,soil_clay_pct,soil_sand_pct,soil_water_content_33kpa,elevation_m,slope_deg,pct_continuous
2010,19,IA,001,ADAIR,139.1,0.7631490011795371,0.8303146658355033,302.19209345508574,168.94433285791663,22.25587287234484,24.160228135708675,27.996591963888992,29.222105548080123,16.516169559934678,19.099345949975543,0.3693278816996205,0.3588343555247369,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.1102123776339804
2011,19,IA,001,ADAIR,152.8,0.6986636741891781,0.8517617182127764,177.03946849831266,45.74933243810241,21.503506325769987,26.111368065982116,26.942165891051737,31.382872412173185,16.065833018753203,20.840859606316627,0.3754859117006531,0.2739802859632163,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.1026528830555144
2012,19,IA,001,ADAIR,104.4,0.7384370916658078,0.7408612798436947,89.20856793532879,16.04611910119052,22.80279702898303,27.10016900953236,28.98953652181788,34.334171187913796,16.617033932595927,19.86713406362088,0.2658639671445031,0.1536549613055362,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.1230318063549191
2013,19,IA,001,ADAIR,137.8,0.6190449262455436,0.8069359670617754,108.63389097667974,12.676971611189847,20.847975688074243,22.832964438716445,26.015566064966382,28.884679794128925,15.68139428856538,16.782242369358865,0.3451502447169108,0.1909177319276624,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.1705423602106128
2014,19,IA,001,ADAIR,169.3,0.7721191805751018,0.8256422268753312,238.74727077030775,39.42143870570458,21.58480068235396,20.98450410233287,26.975083301070025,26.855865244228575,16.195538777317445,15.114154042538722,0.364294500860215,0.2666660939500506,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.1668974899187616
2015,19,IA,001,ADAIR,176.5,0.7130205350823433,0.8484916570692745,157.02540867668984,154.79559780178192,21.59896492386656,22.828753002648227,26.871501207389738,28.157704554110868,16.32742730538317,17.500796692067407,0.3563469680476502,0.3578424757878887,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.1006736415038727
2016,19,IA,001,ADAIR,190.3,0.7350934090624862,0.8566907569384111,31.495347870230077,128.95660711597944,23.84434524853873,23.028122456077195,30.33395201301241,28.282246509282363,17.355735785565123,17.775022812827046,0.2770804016407105,0.286305151226114,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.121661813559368
2017,19,IA,001,ADAIR,175.2,0.7462934923833283,0.8177746830082164,97.94126570592286,33.02279954451471,22.29856579100209,24.91086776907486,28.981560159174663,30.88422450127549,15.61657687702,18.938521798101753,0.2574481436547827,0.1999088668096165,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.1319455297175782
2018,19,IA,001,ADAIR,149.5,0.8071447930547926,0.8178734304725468,215.70028626324347,25.996047425639468,23.085238418347807,23.23085258761452,28.5284365168709,29.230503902797484,17.643047617207273,17.23218470357795,0.3378852457962218,0.2518336069791584,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.098829411641818
2019,19,IA,001,ADAIR,176.5,0.664897794091952,0.8199787196261985,111.69946096376528,38.66368706709249,21.03182916289714,24.019504266084247,26.541599198507708,29.670918766665125,15.522157401941186,18.368189790736977,0.345663688176958,0.23766622289626,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0828807683643942
2020,19,IA,001,ADAIR,168.7,0.6812243038433191,0.8537328163193665,61.15559674797086,66.51990423042506,23.459000094389264,24.419055380911782,29.31095504748569,30.21216679876343,17.607143501134438,18.626048235834663,0.3376115821350457,0.3118957191527295,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0857273422928861
2022,19,IA,001,ADAIR,164.2,0.669802155654715,0.8012564897238442,84.14252711028645,43.81882854989417,22.886959096014703,23.97844296515188,29.407525319704636,29.9648098933596,16.366535189324104,17.992218004734642,0.3230842825373224,0.2669203039892651,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0324468112448147
2024,19,IA,001,ADAIR,211.2,0.7817115642977142,0.8444940012583351,88.09077225870095,122.61374489162176,23.237150171686828,23.124124531664503,29.194526169763083,28.983288792497117,17.2797742510367,17.264960018223096,0.3254824310061708,0.2987769367006756,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0957190911549391
2025,19,IA,001,ADAIR,187.0,0.7716084178031423,0.8720032953974017,182.0923619534399,201.74986541364515,23.078735378588604,24.536134352257186,28.748920471778195,29.80198661946635,17.408550385894706,19.270254244392756,0.3280393418608067,0.3366774650545671,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0756649727776968
2010,19,IA,003,ADAMS,139.3,0.7523330107156379,0.8292343062058675,290.6741829665881,126.91697851447768,22.3204024825254,24.100183337355464,27.87395893485741,29.128872128725828,16.767857661656915,19.07250152774457,0.3719723231907563,0.3648678217431809,3.2733595557767847,62.45719155276304,28.384485315880028,15.85281608190277,26.21887309637835,370.6546335068859,5.255903689352286,0.1204287215135139
2011,19,IA,003,ADAMS,151.7,0.7255585918524411,0.8408110864630347,172.40717190158642,31.419358653990663,21.489550776544572,26.32776206874456,26.9523125107581,31.495037613790075,16.027799709883894,21.16149681601477,0.3706932427000357,0.2658568336889286,3.2733595557767847,62.45719155276304,28.384485315880028,15.85281608190277,26.21887309637835,370.6546335068859,5.255903689352286,0.133904883844326
2012,19,IA,003,ADAMS,109.8,0.7549407262934358,0.7676440277816968,112.90147523026064,22.46873226757783,22.657542580904018,27.057513567246136,28.93821248267281,34.281203927108415,16.377881022991748,19.83481828697418,0.2582120693592675,0.1525034929702931,3.2733595557767847,62.45719155276304,28.384485315880028,15.85281608190277,26.21887309637835,370.6546335068859,5.255903689352286,0.1427033463078276
2013,19,IA,003,ADAMS,147.6,0.6299274449956388,0.8138508336715553,113.64922177255202,25.552601897488515,20.72615867264728,22.67727278325755,25.823287802561875,28.68995591745415,15.63001615507369,16.665586081502553,0.3442627156676487,0.1855114680486659,3.2733595557767847,62.45719155276304,28.384485315880028,15.85281608190277,26.21887309637835,370.6546335068859,5.255903689352286,0.1687990809259685
2014,19,IA,003,ADAMS,169.9,0.7717153878800006,0.8538563190305655,261.18368832495514,51.65694876052553,21.539793168649712,20.842364806402458,26.89670600849838,26.671084553203244,16.183900536192724,15.014641928244556,0.3497764488675475,0.2325220216532042,3.2733595557767847,62.45719155276304,28.384485315880028,15.85281608190277,26.21887309637835,370.6546335068859,5.255903689352286,0.1618774108292548
