crop,checkpoint,test_year,mae,r2,n_counties
corn,early_season,2010,11.580435949764981,0.8065952819004422,327
corn,early_season,2011,11.294247254738332,0.8287089745944596,325
corn,early_season,2012,32.49889919509264,-0.15651370606961024,317
corn,early_season,2013,12.374334858979351,0.5636556747511319,311
corn,early_season,2014,11.815629688602435,0.6908395021788616,316
corn,early_season,2015,9.778786222174014,0.8258758596112282,298
corn,early_season,2016,9.293332148120419,0.8738235928008433,310
corn,early_season,2017,16.154466535559326,0.5981570276003731,306
corn,early_season,2018,11.279941407796258,0.8461702202212669,293
corn,early_season,2019,8.915070329557363,0.8645798467042382,271
corn,early_season,2020,14.183857599102266,0.6623816973708306,323
corn,early_season,2021,13.340349816530402,0.6495527670315049,264
corn,early_season,2022,13.513541564664113,0.7553505032195735,300
corn,early_season,2023,17.29185230880268,0.40214850225927024,290
corn,early_season,2024,16.89816843418349,0.7733984061410363,228
corn,early_season,2025,14.918727438781927,0.5928046938032526,220
corn,pre_harvest,2010,11.565407992577784,0.8111214160518181,327
corn,pre_harvest,2011,11.155260947649863,0.8292798380852837,325
corn,pre_harvest,2012,28.526567907541867,0.040441629463256135,317
corn,pre_harvest,2013,11.161188287732228,0.6568833885935141,311
corn,pre_harvest,2014,12.237508372185,0.6679269625392392,316
corn,pre_harvest,2015,10.349785336783034,0.8013002566478818,298
corn,pre_harvest,2016,10.138933967727787,0.8464841732621501,310
corn,pre_harvest,2017,14.972778977316224,0.6442635847708662,306
corn,pre_harvest,2018,10.8521280400828,0.8659356197944557,293
corn,pre_harvest,2019,11.541703477823633,0.8099729184001441,271
corn,pre_harvest,2020,12.598551348829925,0.7227364420609257,323
corn,pre_harvest,2021,13.02987353443181,0.6710114438237615,264
corn,pre_harvest,2022,12.610763062075788,0.7842522050795144,300
corn,pre_harvest,2023,16.096837053906373,0.482110066367743,290
corn,pre_harvest,2024,15.903139533245827,0.7850468248256921,228
corn,pre_harvest,2025,14.973848775179096,0.5679157665797205,220
soybeans,early_season,2010,4.812113749099448,0.7199138397136009,322
soybeans,early_season,2011,4.333916944496837,0.7130779098365099,308
soybeans,early_season,2012,6.204410638147339,0.1600593248040395,301
soybeans,early_season,2013,4.15202630046124,0.654052366983972,298
soybeans,early_season,2014,3.6792586674887753,0.6210745952502376,311
soybeans,early_season,2015,3.145936781963324,0.8524903092373068,302
soybeans,early_season,2016,3.4671070163850377,0.841062458337595,307
soybeans,early_season,2017,3.846835277225062,0.7367594537270092,300
soybeans,early_season,2018,3.3305212747131216,0.8725517799220031,286
soybeans,early_season,2019,3.857961457470833,0.7489529402205946,247
soybeans,early_season,2020,4.417521337143442,0.6743171565002446,306
soybeans,early_season,2021,3.9693980002070193,0.8139488621128461,256
soybeans,early_season,2022,4.5408647480427815,0.7020906072033841,306
soybeans,early_season,2023,5.265690309406226,0.5807699075082784,284
soybeans,early_season,2024,4.024950809874696,0.7903166084504546,217
soybeans,early_season,2025,5.790042874605838,0.6919267996007732,213
soybeans,pre_harvest,2010,4.541245367193294,0.742341850659854,322
soybeans,pre_harvest,2011,3.6712087474507475,0.7859366731283562,308
soybeans,pre_harvest,2012,4.068677795375869,0.604870087505214,301
soybeans,pre_harvest,2013,2.9500211554519993,0.8159732562021857,298
soybeans,pre_harvest,2014,4.161240476394523,0.5768617389483661,311
soybeans,pre_harvest,2015,2.7178765971216565,0.9000206343167059,302
soybeans,pre_harvest,2016,2.6712164166747874,0.8903484368016739,307
soybeans,pre_harvest,2017,2.6929475930921116,0.8548548392872966,300
soybeans,pre_harvest,2018,3.5125148106203294,0.8519857312983483,286
soybeans,pre_harvest,2019,3.9513414224679146,0.7716503168484737,247
soybeans,pre_harvest,2020,3.004009368566451,0.833362883729643,306
soybeans,pre_harvest,2021,3.636285325385615,0.8442126054775984,256
soybeans,pre_harvest,2022,4.048391014957094,0.7861867871112349,306
soybeans,pre_harvest,2023,3.9445152439982016,0.759060733643713,284
soybeans,pre_harvest,2024,2.8333196804064125,0.881536846711419,217
soybeans,pre_harvest,2025,5.220716586986665,0.7413790895781622,213
