year,state_fips,county_fips,county_name,yield_bu_acre,crop,state_alpha,price_per_bu,ers_basis_cost_per_acre,cost_escalation_ratio,cost_per_acre,revenue_per_acre,profit_per_acre,cost_basis_year,ers_basis_price_per_bu,price_vs_ers_basis_pct,ers_baseline_net_value
2026,19,001,Adair,201.42838657251528,corn,IA,4.26,947.29,1.097906819716408,1040.036151249156,858.084926798915,-181.95122445024106,2025,3.92,8.673469387755098,-108.05
2026,19,001,Adair,59.86824113056527,soybeans,IA,11.6,697.51,1.097906819716408,765.8009858203917,694.4715971145572,-71.3293887058345,2025,9.8,18.367346938775498,-110.15
2026,19,003,Adams,190.08515224575277,corn,IA,4.26,947.29,1.097906819716408,1040.036151249156,809.7627485669068,-230.2734026822493,2025,3.92,8.673469387755098,-108.05
2026,19,003,Adams,58.95171622329565,soybeans,IA,11.6,697.51,1.097906819716408,765.8009858203917,683.8399081902295,-81.96107763016221,2025,9.8,18.367346938775498,-110.15
2026,19,005,Allamakee,209.31303003223374,corn,IA,4.26,947.29,1.097906819716408,1040.036151249156,891.6735079373157,-148.36264331184043,2025,3.92,8.673469387755098,-108.05
2026,19,005,Allamakee,60.387387924100565,soybeans,IA,11.6,697.51,1.097906819716408,765.8009858203917,700.4936999195666,-65.30728590082515,2025,9.8,18.367346938775498,-110.15
2026,19,007,Appanoose,187.44244444571135,corn,IA,4.26,947.29,1.097906819716408,1040.036151249156,798.5048133387303,-241.5313379104258,2025,3.92,8.673469387755098,-108.05
2026,19,007,Appanoose,55.48976503863394,soybeans,IA,11.6,697.51,1.097906819716408,765.8009858203917,643.6812744481537,-122.11971137223804,2025,9.8,18.367346938775498,-110.15
2026,19,009,Audubon,196.07994237820233,corn,IA,4.26,947.29,1.097906819716408,1040.036151249156,835.3005545311419,-204.73559671801422,2025,3.92,8.673469387755098,-108.05
2026,19,009,Audubon,61.83958601974059,soybeans,IA,11.6,697.51,1.097906819716408,765.8009858203917,717.3391978289908,-48.46178799140091,2025,9.8,18.367346938775498,-110.15
2026,19,011,Benton,206.9957296464136,corn,IA,4.26,947.29,1.097906819716408,1040.036151249156,881.8018082937218,-158.23434295543427,2025,3.92,8.673469387755098,-108.05
2026,19,011,Benton,65.20350095054262,soybeans,IA,11.6,697.51,1.097906819716408,765.8009858203917,756.3606110262944,-9.440374794097352,2025,9.8,18.367346938775498,-110.15
2026,19,013,Black Hawk,209.3644840067765,corn,IA,4.26,947.29,1.097906819716408,1040.036151249156,891.8927018688679,-148.1434493802882,2025,3.92,8.673469387755098,-108.05
2026,19,013,Black Hawk,65.17852373457211,soybeans,IA,11.6,697.51,1.097906819716408,765.8009858203917,756.0708753210364,-9.730110499355305,2025,9.8,18.367346938775498,-110.15
2026,19,015,Boone,205.11586146629182,corn,IA,4.26,947.29,1.097906819716408,1040.036151249156,873.7935698464031,-166.242581402753,2025,3.92,8.673469387755098,-108.05
2026,19,015,Boone,65.55200732937523,soybeans,IA,11.6,697.51,1.097906819716408,765.8009858203917,760.4032850207526,-5.397700799639097,2025,9.8,18.367346938775498,-110.15
