year,state_fips,state_alpha,county_fips,county_name,yield_bu_acre,ndvi_jun,ndvi_jul,precip_sum_jun,precip_sum_jul,tmean_jun,tmean_jul,tmax_jun,tmax_jul,tmin_jun,tmin_jul,soil_moisture_jun,soil_moisture_jul,soil_organic_carbon,soil_ph,soil_clay_pct,soil_sand_pct,soil_water_content_33kpa,elevation_m,slope_deg,pct_continuous,edd_29c_jun,edd_29c_jul,gdd_10_30c_jun,gdd_10_30c_jul,days_above_30c_jun,days_above_30c_jul,days_above_35c_jun,days_above_35c_jul,dry_days_jun,dry_days_jul,heavy_rain_days_jun,heavy_rain_days_jul
2010,19,IA,001,ADAIR,48.7,0.6682488409330097,0.8370568460877589,302.19209345508574,168.94433285791663,22.25587287234484,24.160228135708675,27.996591963888992,29.222105548080123,16.516169559934678,19.099345949975543,0.3693278816996205,0.3588343555247369,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0657907191100874,14.669515258097585,29.05475599734202,351.5614070373726,416.1682489845577,4.104483804052975,9.162214775809796,0.0,0.0,13.08753789692038,16.729535662996653,4.4531035583213665,2.4128929312270633
2011,19,IA,001,ADAIR,50.3,0.6144569078442732,0.8415938444127716,177.03946849831266,45.74933243810241,21.503506325769987,26.111368065982116,26.942165891051737,31.382872412173185,16.065833018753203,20.840859606316627,0.3754859117006531,0.2739802859632163,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0678676428911161,28.376387214143264,80.60256415020626,323.2076933120453,453.9041570264454,5.7811073879049015,19.908153821605243,1.215669379288336,2.936333173767354,17.336460826551782,21.538981969044205,2.281985000797831,0.0081378650071804
2012,19,IA,001,ADAIR,38.6,0.6412350859309622,0.7430266939198749,89.20856793532879,16.04611910119052,22.80279702898303,27.10016900953236,28.98953652181788,34.334171187913796,16.617033932595927,19.86713406362088,0.2658639671445031,0.1536549613055362,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0814151839129628,40.68370291425488,160.18167807519848,358.7420953462394,446.90875930235273,12.2513164193394,26.80360619116005,1.0,11.973384394447107,21.81040370193075,27.34466251795118,1.27375139620233,0.0
2013,19,IA,001,ADAIR,36.8,0.5390735800719604,0.762605125383958,108.63389097667974,12.676971611189847,20.847975688074243,22.832964438716445,26.015566064966382,28.884679794128925,15.68139428856538,16.782242369358865,0.3451502447169108,0.1909177319276624,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.1047403678710143,17.0006933005628,38.13962420275932,312.87112982363277,373.8861656059162,7.50623902983884,11.804659326631564,0.0,0.0,20.359597893729063,26.569937769267597,1.2883995532152548,0.0
2014,19,IA,001,ADAIR,50.0,0.6824837920119983,0.8031532768018355,238.74727077030775,39.42143870570458,21.58480068235396,20.98450410233287,26.975083301070025,26.855865244228575,16.195538777317445,15.114154042538722,0.364294500860215,0.2666660939500506,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0839712962879584,8.274125851804188,14.209838102726312,335.3303030016626,325.9004305214865,4.211073879048987,5.059581937131006,0.0,0.0,17.420232966331582,25.972905696505507,2.876432104675283,0.2176160842508377
2015,19,IA,001,ADAIR,55.1,0.6132591412511508,0.8210920940005768,157.02540867668984,154.79559780178192,21.59896492386656,22.828753002648227,26.871501207389738,28.157704554110868,16.32742730538317,17.500796692067407,0.3563469680476502,0.3578424757878887,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0705793769503982,14.810710420025698,27.16367855196804,331.5493745995725,377.30076551445,4.0163395564065745,9.568980373384395,0.0,0.0,20.02026487952769,20.02390298388384,1.9521621190362224,1.7701930748364452
2016,19,IA,001,ADAIR,59.3,0.6561006502404824,0.8738721711054138,31.495347870230077,128.95660711597944,23.84434524853873,23.028122456077195,30.33395201301241,28.282246509282363,17.355735785565123,17.775022812827046,0.2770804016407105,0.286305151226114,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0535341687501851,56.7781036109127,26.930583408222414,381.7800258728997,383.0545079816068,15.458337322482848,8.103175363012605,0.7795436412956759,0.0,25.27081538216053,21.812031274932185,0.0162757300143609,2.299601085048669
2017,19,IA,001,ADAIR,50.5,0.6402926775317924,0.8192094759103816,97.94126570592286,33.02279954451471,22.29856579100209,24.91086776907486,28.981560159174663,30.88422450127549,15.61657687702,18.938521798101753,0.2574481436547827,0.1999088668096165,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.06839349020581,39.10968222897343,64.60164151341604,345.89526060547814,425.3457969156811,13.312270623902986,18.87652784426361,0.0,1.2328705919897882,18.777245891176005,24.548428275091748,0.4602521142492422,0.1993936492739748
2018,19,IA,001,ADAIR,50.1,0.7122041978903654,0.8283775889528332,215.70028626324347,25.996047425639468,23.085238418347807,23.23085258761452,28.5284365168709,29.230503902797484,17.643047617207273,17.23218470357795,0.3378852457962218,0.2518336069791584,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0656976370961063,36.261741336453035,34.96670941805868,366.9984828458062,385.0437161784967,10.0,8.978139460666988,0.0,0.1302377533109941,17.68683580660603,26.013307802776456,3.493665230572843,0.0
2019,19,IA,001,ADAIR,53.3,0.5659156304214957,0.7681564205270295,111.69946096376528,38.66368706709249,21.03182916289714,24.019504266084247,26.541599198507708,29.670918766665125,15.522157401941186,18.368189790736977,0.345663688176958,0.23766622289626,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0332843514811533,10.318495303431408,46.11149424651374,319.2664273064656,406.42665058026114,3.7283229615445994,16.132120631881282,0.0,0.0,20.23475347056009,23.390138822403067,1.3369395244933784,0.0066060315940641
2020,19,IA,001,ADAIR,48.1,0.5929265746167279,0.8447061743550717,61.15559674797086,66.51990423042506,23.459000094389264,24.419055380911782,29.31095504748569,30.21216679876343,17.607143501134438,18.626048235834663,0.3376115821350457,0.3118957191527295,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.0214170440293498,36.28273370681016,47.601431155779245,380.33393704845184,418.30482836340315,14.667528322961546,16.7021541407372,0.0,0.0,20.698803255146007,23.22387107068773,0.2190840912717409,0.803733843944471
2022,19,IA,001,ADAIR,47.5,0.5828362320753514,0.7701564273400336,84.14252711028645,43.81882854989417,22.886959096014703,23.97844296515188,29.407525319704636,29.9648098933596,16.366535189324104,17.992218004734642,0.3230842825373224,0.2669203039892651,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.048967935934254,50.66100311906255,50.72631456324297,357.6986377896393,401.7528318042675,12.697048029360142,14.569108026168823,1.9746928354874744,1.757363970001596,20.604755066219887,22.81512685495453,0.8576352321685018,0.0
2024,19,IA,001,ADAIR,60.2,0.6995406003071153,0.8477868105680102,88.09077225870095,122.61374489162176,23.237150171686828,23.124124531664503,29.194526169763083,28.983288792497117,17.2797742510367,17.264960018223096,0.3254824310061708,0.2987769367006756,3.1693386642539827,62.10994544435512,27.77516594376984,17.047407862871385,25.72053309704551,386.3347546607775,5.101554557956244,0.1175090929406617,35.060198652670124,32.8864033278579,373.2860879936116,383.1920925881014,12.477485240146802,9.852720599968093,0.0,0.1123982766874102,21.273783309398443,21.700526567735764,0.416435295994894,1.1099090473910966
