year,state_fips,county_fips,county_name,ndvi_corn_mean,corn_pixel_count
2010,17,121,Marion,0.7595189489482213,6528
2010,17,005,Bond,0.7567182923176767,5764
2010,17,083,Jersey,0.7722268540401283,5769
2010,17,163,St. Clair,0.761069974767209,8193
2010,17,027,Clinton,0.7555351524231052,7996
2010,17,013,Calhoun,0.7785971863111094,1765
2010,17,119,Madison,0.7597161571242464,8993
2010,17,133,Monroe,0.742135745299127,4446
2010,17,117,Macoupin,0.75840178465811,18350
2010,17,171,Scott,0.7658865570340222,5227
2010,17,137,Morgan,0.7756360435950425,13003
2010,17,107,Logan,0.7653712661237115,18199
2010,17,129,Menard,0.7776497908000841,7306
2010,17,167,Sangamon,0.7668578303045867,21518
2010,17,021,Christian,0.7601929279007991,19360
2010,17,127,Massac,0.7304239997865478,1977
2010,17,057,Fulton,0.7526839439240341,13031
2010,17,175,Stark,0.7895220062117105,8635
2010,17,203,Woodford,0.786135218138632,12754
2010,17,179,Tazewell,0.7540388810725818,14184
2010,17,123,Marshall,0.7940946624069083,10021
2010,17,143,Peoria,0.764934455348006,10113
2010,17,001,Adams,0.7504778265714097,13121
2010,17,177,Stephenson,0.8081947482208419,15485
2010,17,141,Ogle,0.8178803862094686,22940
2010,17,201,Winnebago,0.8058110849078454,9730
2010,17,007,Boone,0.8028400063878431,7375
2010,17,025,Clay,0.7541873774551388,6535
2010,17,185,Wabash,0.7528122141429548,4554
2010,17,009,Brown,0.7642385816059896,3470
2010,17,151,Pope,0.7171910883832646,560
2010,17,033,Crawford,0.7599528425284854,7558
2010,17,135,Montgomery,0.7511833110119679,15598
2010,17,055,Franklin,0.749129572445528,3500
2010,17,023,Clark,0.7533507169196185,8753
2010,17,059,Gallatin,0.7321480991982059,5750
2010,17,075,Iroquois,0.752422878164335,31335
2010,17,041,Douglas,0.7630678189004017,10434
2010,17,189,Washington,0.748541547875015,8844
2010,17,159,Richland,0.7594110092684777,6408
2010,17,065,Hamilton,0.7362326882261528,5711
2010,17,193,White,0.7499954804224428,8654
2010,17,169,Schuyler,0.7600588503546852,5494
2010,17,181,Union,0.7475978133267543,991
2010,17,085,Jo Daviess,0.8145215547387354,7611
2010,17,125,Mason,0.7411061206057309,12925
2010,17,191,Wayne,0.7486949330807222,10822
2010,17,069,Hardin,0.7510084084084084,111
2010,17,061,Greene,0.7838271777714618,10388
2010,17,157,Randolph,0.7477145029361836,5090
2010,17,149,Pike,0.7654000138507796,14429
2010,17,145,Perry,0.7493939878230094,4225
2010,17,087,Johnson,0.7580391217045115,587
2010,17,173,Shelby,0.7642825018464814,16239
2010,17,051,Fayette,0.7527470596784632,10487
2010,17,139,Moultrie,0.7450680122912943,8583
2010,17,017,Cass,0.7671222924920317,8288
2010,17,015,Carroll,0.8203867842815915,12984
2010,17,047,Edwards,0.7653489510392787,3905
2010,17,079,Jasper,0.7560478857126863,8503
2010,17,187,Warren,0.772902315598201,14450
2010,17,153,Pulaski,0.7325278153807128,1784
2010,17,165,Saline,0.7451799552061995,3917
2010,17,101,Lawrence,0.7556215855036208,6909
2010,17,045,Edgar,0.7661341735212492,15498
2010,17,071,Henderson,0.7624575220838441,9114
2010,17,199,Williamson,0.7492770556537499,1267
2010,17,077,Jackson,0.7370998424903266,2713
2010,17,147,Piatt,0.7509860381649803,12289
2010,17,053,Ford,0.7486852650198923,13944
2010,17,019,Champaign,0.7670301422282392,25138
2010,17,029,Coles,0.7658523459543646,10872
2010,17,035,Cumberland,0.7662909542520849,6081
2010,17,183,Vermilion,0.7788288793876337,20561
2010,17,115,Macon,0.765624066779365,15064
2010,17,049,Effingham,0.7584410342989448,7402
2010,17,067,Hancock,0.7356599035951166,14758
2010,17,095,Knox,0.7724097198054201,15406
2010,17,109,McDonough,0.7610307608292121,12654
2010,17,081,Jefferson,0.7572656371537144,4638
2010,17,113,McLean,0.7814492766987894,31461
2010,17,039,De Witt,0.7743709474775794,9778
2010,17,105,Livingston,0.7724228490840416,28291
2010,17,003,Alexander,0.742741108142385,934
2010,17,093,Kendall,0.789995794598654,7958
2010,17,031,Cook,0.6789866785036645,383
2010,17,037,DeKalb,0.801395751800395,20840
2010,17,089,Kane,0.8010268770153345,8308
2010,17,063,Grundy,0.767383782117012,9989
2010,17,111,McHenry,0.7992655726411521,9330
2010,17,197,Will,0.738683665701422,9896
2010,17,043,DuPage,0.7417295933053397,270
2010,17,097,Lake,0.756100440141819,841
2010,17,091,Kankakee,0.7570822453813743,18732
2010,17,011,Bureau,0.8097935982112916,27865
2010,17,155,Putnam,0.7867638942392896,3667
2010,17,099,LaSalle,0.7806628725989558,30376
2010,17,131,Mercer,0.7928836536330994,13061
2010,17,161,Rock Island,0.7936126564690202,6704
2010,17,073,Henry,0.7962602324938761,22634
2010,17,103,Lee,0.8084464235625946,25632
2010,17,195,Whiteside,0.7999850260093235,22583
2010,19,149,Plymouth,0.8136097111026153,20258
2010,19,193,Woodbury,0.8042200779389856,20056
2010,19,027,Carroll,0.8272973664396042,16247
2010,19,061,Dubuque,0.8034106754790022,11639
2010,19,101,Jefferson,0.7601529196046724,6517
2010,19,187,Webster,0.8031510726669641,19223
2010,19,111,Lee,0.7188886891140899,7571
2010,19,127,Marshall,0.8359725456970479,12861
2010,19,195,Worth,0.839853929614363,10666
2010,19,033,Cerro Gordo,0.8197291794886381,15857
2010,19,051,Davis,0.7602540597021844,3360
2010,19,179,Wapello,0.7421685615175295,4976
2010,19,041,Clay,0.8106900697728253,14541
2010,19,059,Dickinson,0.7979485696842928,8975
2010,19,021,Buena Vista,0.8175067910160597,14784
2010,19,013,Black Hawk,0.8106328857352865,12748
2010,19,075,Grundy,0.8292607287012538,13455
2010,19,017,Bremer,0.820062281533151,10976
2010,19,085,Harrison,0.8035076889262467,17026
2010,19,129,Mills,0.801599239960484,9329
2010,19,155,Pottawattamie,0.8093444960333428,21228
2010,19,123,Mahaska,0.7474700325273637,11418
2010,19,125,Marion,0.7574809780279768,6741
2010,19,053,Decatur,0.7523416789570067,2395
2010,19,031,Cedar,0.7911393159635836,14924
2010,19,151,Pocahontas,0.8088585665166053,16238
2010,19,109,Kossuth,0.8179544982567912,27499
2010,19,089,Howard,0.834340811508563,11378
2010,19,147,Palo Alto,0.802728337008062,16698
2010,19,159,Ringgold,0.7686915918604746,3956
2010,19,025,Calhoun,0.8071233249239489,16656
2010,19,039,Clarke,0.7544584707877995,2739
2010,19,065,Fayette,0.814631067388994,16188
2010,19,001,Adair,0.7917527783059428,9303
2010,19,037,Chickasaw,0.8367166571965419,12850
2010,19,081,Hancock,0.8130236877143174,16993
2010,19,157,Poweshiek,0.7915254424602366,12164
2010,19,165,Shelby,0.8312855387124547,15319
2010,19,185,Wayne,0.737309909134332,4197
2010,19,097,Jackson,0.8021169454445242,8634
2010,19,043,Clayton,0.8077979433968768,12409
2010,19,007,Appanoose,0.7379403346466747,2606
2010,19,177,Van Buren,0.7415130698512788,4940
2010,19,197,Wright,0.7873864839079528,15593
2010,19,137,Montgomery,0.8075699425260684,8361
2010,19,175,Union,0.7687267076255626,4249
2010,19,107,Keokuk,0.762412220891989,10344
2010,19,131,Mitchell,0.8378697627974343,13428
