year,state_alpha,county_name,county_code,commodity_desc,short_desc,Value,unit_desc
2010,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",48.7,BU / ACRE
2011,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.3,BU / ACRE
2012,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",38.6,BU / ACRE
2013,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",36.8,BU / ACRE
2014,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.0,BU / ACRE
2015,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.1,BU / ACRE
2016,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",59.3,BU / ACRE
2017,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.5,BU / ACRE
2018,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.1,BU / ACRE
2019,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53.3,BU / ACRE
2020,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",48.1,BU / ACRE
2022,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47.5,BU / ACRE
2024,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",60.2,BU / ACRE
2025,IA,ADAIR,001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",62.2,BU / ACRE
2010,IA,ADAMS,003,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47.7,BU / ACRE
2011,IA,ADAMS,003,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46.9,BU / ACRE
2012,IA,ADAMS,003,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",40.9,BU / ACRE
2013,IA,ADAMS,003,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",44.1,BU / ACRE
2014,IA,ADAMS,003,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47.6,BU / ACRE
2015,IA,ADAMS,003,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.3,BU / ACRE
2016,IA,ADAMS,003,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.5,BU / ACRE
2017,IA,ADAMS,003,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.6,BU / ACRE
2018,IA,ADAMS,003,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53.2,BU / ACRE
2010,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.2,BU / ACRE
2011,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.1,BU / ACRE
2012,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.2,BU / ACRE
2013,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.7,BU / ACRE
2014,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.6,BU / ACRE
2015,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54.1,BU / ACRE
2016,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.8,BU / ACRE
2017,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.6,BU / ACRE
2018,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.8,BU / ACRE
2020,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",58.8,BU / ACRE
2021,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",61.9,BU / ACRE
2022,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",61.2,BU / ACRE
2023,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.2,BU / ACRE
2024,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.1,BU / ACRE
2025,IA,ALLAMAKEE,005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",61.9,BU / ACRE
2010,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",42.6,BU / ACRE
2011,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",43.1,BU / ACRE
2012,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",24.6,BU / ACRE
2013,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",29.5,BU / ACRE
2014,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46.7,BU / ACRE
2015,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",48.2,BU / ACRE
2016,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.9,BU / ACRE
2017,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.7,BU / ACRE
2018,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",45.1,BU / ACRE
2020,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",39.1,BU / ACRE
2021,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.5,BU / ACRE
2022,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",40.4,BU / ACRE
2023,IA,APPANOOSE,007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.7,BU / ACRE
2010,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.3,BU / ACRE
2011,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.1,BU / ACRE
2012,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",38.7,BU / ACRE
2013,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",45.0,BU / ACRE
2014,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.2,BU / ACRE
2015,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.8,BU / ACRE
2016,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",62.0,BU / ACRE
2017,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.2,BU / ACRE
2018,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.3,BU / ACRE
2019,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",58.9,BU / ACRE
2020,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",48.3,BU / ACRE
2021,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",67.3,BU / ACRE
2022,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.9,BU / ACRE
2023,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53.6,BU / ACRE
2024,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",64.6,BU / ACRE
2025,IA,AUDUBON,009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",65.6,BU / ACRE
2010,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.7,BU / ACRE
2011,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.3,BU / ACRE
2012,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47.5,BU / ACRE
2013,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46.6,BU / ACRE
2014,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.7,BU / ACRE
2015,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.5,BU / ACRE
2016,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",61.1,BU / ACRE
2017,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.6,BU / ACRE
2018,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",61.0,BU / ACRE
2019,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.9,BU / ACRE
2020,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.7,BU / ACRE
2021,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",67.1,BU / ACRE
2022,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",66.1,BU / ACRE
2023,IA,BENTON,011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54.0,BU / ACRE
2010,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.2,BU / ACRE
2011,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.7,BU / ACRE
2012,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",44.5,BU / ACRE
2013,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47.2,BU / ACRE
2014,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49.2,BU / ACRE
2015,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.0,BU / ACRE
2016,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",61.8,BU / ACRE
2017,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",59.5,BU / ACRE
2018,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",58.4,BU / ACRE
2019,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51.9,BU / ACRE
2020,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54.2,BU / ACRE
2021,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",60.1,BU / ACRE
2022,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",64.5,BU / ACRE
2023,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51.1,BU / ACRE
2024,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.2,BU / ACRE
2025,IA,BLACK HAWK,013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",62.0,BU / ACRE
2010,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46.6,BU / ACRE
2011,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51.2,BU / ACRE
2012,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",45.7,BU / ACRE
2013,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",42.0,BU / ACRE
2014,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.2,BU / ACRE
2015,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53.7,BU / ACRE
2016,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",60.2,BU / ACRE
2017,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.7,BU / ACRE
2018,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54.6,BU / ACRE
2019,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53.2,BU / ACRE
2020,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.9,BU / ACRE
2021,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",64.4,BU / ACRE
2022,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",60.4,BU / ACRE
2023,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",69.1,BU / ACRE
2024,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",66.3,BU / ACRE
2025,IA,BOONE,015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",66.2,BU / ACRE
2010,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.7,BU / ACRE
2011,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.0,BU / ACRE
2012,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46.7,BU / ACRE
2013,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49.9,BU / ACRE
2014,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",48.2,BU / ACRE
2015,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",59.4,BU / ACRE
2016,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",62.1,BU / ACRE
2017,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.8,BU / ACRE
2018,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.3,BU / ACRE
2019,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.5,BU / ACRE
2021,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",62.0,BU / ACRE
2022,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",66.7,BU / ACRE
2023,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54.5,BU / ACRE
2024,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.9,BU / ACRE
2025,IA,BREMER,017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",65.3,BU / ACRE
2010,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.5,BU / ACRE
2011,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.1,BU / ACRE
2012,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47.1,BU / ACRE
2013,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49.2,BU / ACRE
2014,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49.5,BU / ACRE
2015,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.7,BU / ACRE
2016,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",60.2,BU / ACRE
2017,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.9,BU / ACRE
2018,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.2,BU / ACRE
2019,IA,BUCHANAN,019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.2,BU / ACRE
